F-lost	   TF_cost	min-1	mean-1	max-1	w-mean-1	ext2-1	
0.3040	1.4061e+005	0.6926	0.6926	0.6926	0.6926	0.0877	
0.3050	1.4041e+005	0.6922	0.6922	0.6922	0.6922	0.0879	
0.3060	1.402e+005	0.6917	0.6917	0.6917	0.6917	0.0880	
0.3070	1.4e+005  	0.6913	0.6913	0.6913	0.6913	0.0882	
0.3080	1.398e+005	0.6909	0.6909	0.6909	0.6909	0.0883	
0.3090	1.396e+005	0.6904	0.6904	0.6904	0.6904	0.0885	
0.3100	1.394e+005	0.6899	0.6899	0.6899	0.6899	0.0886	
0.3110	1.3919e+005	0.6896	0.6896	0.6896	0.6896	0.0887	
0.3120	1.3899e+005	0.6892	0.6892	0.6892	0.6892	0.0889	
0.3130	1.3879e+005	0.6889	0.6889	0.6889	0.6889	0.0890	
0.3140	1.3859e+005	0.6885	0.6885	0.6885	0.6885	0.0891	
0.3150	1.3839e+005	0.6880	0.6880	0.6880	0.6880	0.0892	
0.3160	1.3818e+005	0.6875	0.6875	0.6875	0.6875	0.0894	
0.3170	1.3798e+005	0.6871	0.6871	0.6871	0.6871	0.0896	
0.3180	1.3778e+005	0.6866	0.6866	0.6866	0.6866	0.0897	
0.3190	1.3758e+005	0.6864	0.6864	0.6864	0.6864	0.0898	
0.3200	1.3738e+005	0.6859	0.6859	0.6859	0.6859	0.0899	
0.3210	1.3717e+005	0.6855	0.6855	0.6855	0.6855	0.0901	
0.3220	1.3697e+005	0.6850	0.6850	0.6850	0.6850	0.0902	
0.3230	1.3677e+005	0.6846	0.6846	0.6846	0.6846	0.0904	
0.3240	1.3657e+005	0.6841	0.6841	0.6841	0.6841	0.0905	
0.3250	1.3637e+005	0.6836	0.6836	0.6836	0.6836	0.0907	
0.3260	1.3616e+005	0.6832	0.6832	0.6832	0.6832	0.0909	
0.3270	1.3596e+005	0.6827	0.6827	0.6827	0.6827	0.0910	
0.3280	1.3576e+005	0.6823	0.6823	0.6823	0.6823	0.0911	
0.3290	1.3556e+005	0.6818	0.6818	0.6818	0.6818	0.0913	
0.3300	1.3536e+005	0.6814	0.6814	0.6814	0.6814	0.0915	
0.3310	1.3515e+005	0.6809	0.6809	0.6809	0.6809	0.0916	
0.3320	1.3495e+005	0.6805	0.6805	0.6805	0.6805	0.0918	
0.3330	1.3475e+005	0.6800	0.6800	0.6800	0.6800	0.0919	
0.3340	1.3455e+005	0.6795	0.6795	0.6795	0.6795	0.0921	
0.3350	1.3435e+005	0.6790	0.6790	0.6790	0.6790	0.0922	
0.3360	1.3414e+005	0.6785	0.6785	0.6785	0.6785	0.0924	
0.3370	1.3394e+005	0.6780	0.6780	0.6780	0.6780	0.0926	
0.3380	1.3374e+005	0.6776	0.6776	0.6776	0.6776	0.0927	
0.3390	1.3354e+005	0.6771	0.6771	0.6771	0.6771	0.0929	
